year,month,day,hour,temp
2012,2,6,19,6.60833684
2012,2,6,20,6.51093528
2012,2,6,21,6.50618416
2012,2,6,22,6.48927881
2012,2,6,23,6.44117809
2012,2,7,0,6.12439349
2012,2,7,1,6.09565929
2012,2,7,2,6.04290972
2012,2,7,3,5.95124174
2012,2,7,4,5.89377457
2012,2,7,5,5.81454868
2012,2,7,6,5.74183708
2012,2,7,7,5.74733431
2012,2,7,8,5.86592313
2012,2,7,9,6.20889107
2012,2,7,10,6.65261036
2012,2,7,11,7.08117976
2012,2,7,12,7.48879851
2012,2,7,13,7.68713686
2012,2,7,14,7.57112103
2012,2,7,15,7.31920212
2012,2,7,16,6.98072658
2012,2,7,17,6.65818123
2012,2,7,18,6.48253317
2012,2,7,19,6.29454064
2012,2,7,20,6.2276811
2012,2,7,21,6.2375812
2012,2,7,22,6.16986618
2012,2,7,23,6.14560504
2012,2,8,0,5.84656726
2012,2,8,1,5.81961208
2012,2,8,2,5.76519563
2012,2,8,3,5.67931476
2012,2,8,4,5.62433828
2012,2,8,5,5.55024346
2012,2,8,6,5.4838037
2012,2,8,7,5.48287656
2012,2,8,8,5.60142955
2012,2,8,9,5.93179663
2012,2,8,10,6.37097382
2012,2,8,11,6.76641678
2012,2,8,12,7.1920783
2012,2,8,13,7.310645
2012,2,8,14,7.20763226
2012,2,8,15,6.99291359
